deployment_id,service,memory_change,cpu_change,commits,helm_changes,node_usage,pod_restart,latency,previous_failures,incidents,files_changed,loc_changed,failure
deploy-00001,payment-service,3.2027019391157694,0.71265791853226,27,0,25.979296226923275,8,54.6730739706523,4,4,72,2362,1
deploy-00002,order-service,329.4976557266808,0.7222271774001319,16,7,87.54482413936066,7,320.12640133780684,2,1,10,1672,1
deploy-00003,order-service,171.512595132337,0.3852981727591588,29,7,89.4508267734806,4,226.82057768967968,4,4,76,600,1
deploy-00004,cart-service,250.16454397131804,0.6007873510527589,2,9,56.871699672307685,8,173.1635906392694,5,2,8,1419,1
deploy-00005,cart-service,37.173398916370246,0.16143157450806617,5,5,79.86508342406884,8,331.47314024577923,4,4,44,2418,1
deploy-00006,order-service,328.1428922511923,0.5282584420711388,10,8,66.35158138977783,2,293.36790980349764,4,3,47,2121,0
deploy-00007,inventory-service,71.39076579863188,0.3537002120706607,16,2,47.68337768613513,1,395.2417531887221,5,3,8,2299,0
deploy-00008,inventory-service,300.90851856478537,0.7276715323199738,19,6,55.752964146708656,0,378.69638218857307,1,2,99,2563,1
deploy-00009,order-service,264.5173264891399,0.49984900762469786,2,4,56.45494707326932,7,273.7809536615071,5,3,41,1231,0
deploy-00010,cart-service,118.2808460839378,0.3163917371005849,6,7,74.73944961571164,8,179.58964896959142,5,3,93,473,0
deploy-00011,cart-service,163.257467633398,0.3018455907845462,16,6,31.2533113208394,7,50.0,2,0,34,2886,0
deploy-00012,cart-service,115.71236581330375,0.9047299042251229,24,2,79.75031136934173,9,109.95734799851846,4,1,8,307,0
deploy-00013,payment-service,0.0,0.6020482752410501,16,8,53.11700088606411,6,50.0,0,4,49,2163,1
deploy-00014,cart-service,452.3024115245556,0.3662255303844415,22,6,68.58551269912633,1,282.9995025957648,1,2,19,1002,1
deploy-00015,inventory-service,0.0,0.22608696353758834,4,2,57.20380393688464,11,50.0,3,3,30,87,0
deploy-00016,cart-service,233.2973540665332,0.7433442987630334,17,2,100.0,5,312.16141499139945,0,3,54,1430,1
deploy-00017,order-service,109.38926576945349,0.23576612032906719,12,2,86.31960461575287,0,273.5572851168017,3,0,30,1671,1
